nama_kos,kecamatan,tipe_penghuni,harga_bulanan,harga_promo,diskon,rating,dilihat,sisa_kamar,daftar_tunggu,n_fasilitas,ada_km_dalam,ada_km_luar,ada_ac,ada_wifi,ada_kasur,ada_lemari,ada_meja,ada_kursi,ada_kloset_duduk,ada_akses_24jam,ada_listrik,ada_kulkas,ada_tv,ada_dapur,sumber,teks_asli
Kost Sidosermo Indah Residence B2,Wonocolo,Campur,1800000,,,,,,1,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,Mamikos,Campur Ikut Daftar Tunggu Kost Sidosermo Indah Residence B2 Wonocolo K. Mandi Dalam·AC·Kloset Duduk·Akses 24 Jam Rp1.800.000 /bulan
Kost Kibar 43 Tipe A Ngagel Mulyo,Wonokromo,Putri,1000000,,,5.0,,,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Kibar 43 Tipe A Ngagel Mulyo Wonokromo K. Mandi Dalam·WiFi·Kasur 5.0 Rp1.000.000 /bulan
Kost Ruma Asta,Gubeng,Putri,950000,,,,121,,1,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 121 kali Putri Ikut Daftar Tunggu Kost Ruma Asta Gubeng WiFi·Kloset Duduk·Kasur Rp950.000 /bulan
Kost Kamda BMU Tipe B AC,Wonocolo,Putri,1700000,,,,,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Kamda BMU Tipe B AC Kecamatan Wonocolo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.700.000 /bulan
Kost Elite Nginden Tengah,Sukolilo,Putra,1400000,,,,,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Elite Nginden Tengah Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Bu Dewi Reformasi Tipe B,Tenggilis Mejoyo,Putri,575000,,,,205,,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 205 kali Putri Ikut Daftar Tunggu Kost Bu Dewi Reformasi Tipe B Tenggilis Mejoyo WiFi·Kasur·Akses 24 Jam Rp575.000 /bulan
Kost Bu Nuryatin Tipe Standart,Sukolilo,Putra,500000,,,,115,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 115 kali Putra Sisa 2 kamar Kost Bu Nuryatin Tipe Standart Sukolilo WiFi·Kasur Rp500.000 /bulan
Kost Bu Yana Vvip 1,Gubeng,Putra,1200000,,,,,,1,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Bu Yana Vvip 1 Gubeng WiFi·AC·Kloset Duduk·Kasur Rp1.200.000 /bulan
Kost Keluarga Tipe A,Sukolilo,Campur,1550000,,,,,,1,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Ikut Daftar Tunggu Kost Keluarga Tipe A Kecamatan Sukolilo K. Mandi Dalam·Kloset Duduk·Kasur·Akses 24 Jam Rp1.550.000 /bulan
Kost Bu Siti UNTAG Tipe Standar,Sukolilo,Campur,600000,,,,500,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Ikut Daftar Tunggu Kost Bu Siti UNTAG Tipe Standar Sukolilo Kasur Rp600.000 /bulan
